"iWine","Barcode","Location","Bin","Size","Currency","ExchangeRate","Valuation","Price","NativePrice","NativePriceCurrency","StoreName","PurchaseDate","BottleNote","Vintage","Wine","Locale","Country","Region","SubRegion","Appellation","Producer","SortProducer","Type","Color","Category","Varietal","MasterVarietal","Designation","Vineyard","WA","WS","IWC","BH","AG","WE","JR","RH","JG","GV","JK","LD","CW","WFW","PR","SJ","WD","RR","JH","MFW","WWR","IWR","CHG","TT","TWF","DR","FP","JM","PG","WAL","JS","CT","CNotes","MY","PNotes","BeginConsume","EndConsume","PurchasedCommunity","QuantityCommunity","PendingCommunity","ConsumedCommunity"
"4837378","0194601722","Cellar","","750ml","NOK","1","360","360","360","NOK","Vinmonopolet","08.07.2024","","2022","La Chablisienne Chablis 1er Cru Montmains","France, Burgundy, Chablis, Chablis 1er Cru","France","Burgundy","Chablis","Chablis 1er Cru","La Chablisienne","Chablisienne, La ","White","White","Dry","Chardonnay","Chardonnay","Unknown","Montmains","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","44","39","0","5"
"4576356","0195382445","Cellar","","750ml","NOK","1","380","380","380","NOK","Vinmonopolet","04.09.2024","","2021","Cyprien Arlaud Bourgogne Oka","France, Burgundy, Bourgogne","France","Burgundy","Unknown","Bourgogne","Cyprien Arlaud","Cyprien Arlaud","Red","Red","Dry","Pinot Noir","Pinot Noir","Oka","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","882","763","25","94"
"4576356","0195382444","Cellar","","750ml","NOK","1","380","380","380","NOK","Vinmonopolet","04.09.2024","","2021","Cyprien Arlaud Bourgogne Oka","France, Burgundy, Bourgogne","France","Burgundy","Unknown","Bourgogne","Cyprien Arlaud","Cyprien Arlaud","Red","Red","Dry","Pinot Noir","Pinot Noir","Oka","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","882","763","25","94"
"4576356","0195382443","Cellar","","750ml","NOK","1","380","380","380","NOK","Vinmonopolet","04.09.2024","","2021","Cyprien Arlaud Bourgogne Oka","France, Burgundy, Bourgogne","France","Burgundy","Unknown","Bourgogne","Cyprien Arlaud","Cyprien Arlaud","Red","Red","Dry","Pinot Noir","Pinot Noir","Oka","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","882","763","25","94"
"4495055","0186371041","Cellar","","750ml","NOK","1","2500","2500","2500","NOK","Vinmonopolet","01.08.2023","","2013","Dom Pérignon Champagne","France, Champagne","France","Champagne","Unknown","Champagne","Dom Pérignon","Dom Pérignon","White - Sparkling","White","Sparkling","Champagne Blend","Champagne Blend","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","189","","","","","11220","8771","702","1747"
"4495055","0193868518","Cellar","","750ml","NOK","1","2000","2000","2000","NOK","Color Line Tax Free","17.07.2024","","2013","Dom Pérignon Champagne","France, Champagne","France","Champagne","Unknown","Champagne","Dom Pérignon","Dom Pérignon","White - Sparkling","White","Sparkling","Champagne Blend","Champagne Blend","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","189","","","","","11220","8771","702","1747"
"4495055","0193868519","Cellar","","750ml","NOK","1","2000","2000","2000","NOK","Color Line Tax Free","17.07.2024","","2013","Dom Pérignon Champagne","France, Champagne","France","Champagne","Unknown","Champagne","Dom Pérignon","Dom Pérignon","White - Sparkling","White","Sparkling","Champagne Blend","Champagne Blend","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","189","","","","","11220","8771","702","1747"
"4495055","0193868520","Cellar","","750ml","NOK","1","2000","2000","2000","NOK","Color Line Tax Free","17.07.2024","","2013","Dom Pérignon Champagne","France, Champagne","France","Champagne","Unknown","Champagne","Dom Pérignon","Dom Pérignon","White - Sparkling","White","Sparkling","Champagne Blend","Champagne Blend","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","189","","","","","11220","8771","702","1747"
"4863532","0194597654","Cellar","","750ml","NOK","1","400","400","400","NOK","Vinmonopolet","09.08.2024","","2022","Faiveley Mercurey Vieilles Vignes","France, Burgundy, Côte Chalonnaise, Mercurey","France","Burgundy","Côte Chalonnaise","Mercurey","Faiveley","Faiveley","Red","Red","Dry","Pinot Noir","Pinot Noir","Vieilles Vignes","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","819","695","0","124"
"4863532","0194597655","Cellar","","750ml","NOK","1","400","400","400","NOK","Vinmonopolet","09.08.2024","","2022","Faiveley Mercurey Vieilles Vignes","France, Burgundy, Côte Chalonnaise, Mercurey","France","Burgundy","Côte Chalonnaise","Mercurey","Faiveley","Faiveley","Red","Red","Dry","Pinot Noir","Pinot Noir","Vieilles Vignes","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","819","695","0","124"
"4503583","0196380700","Cellar","","750ml","NOK","1","460","460","460","NOK","Vinmonopolet","03.10.2024","","2021","Alain Graillot Crozes-Hermitage","France, Rhône, Northern Rhône, Crozes-Hermitage","France","Rhône","Northern Rhône","Crozes-Hermitage","Alain Graillot","Graillot, Alain ","Red","Red","Dry","Syrah","Syrah","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","1784","1613","37","134"
"4503583","0196380699","Cellar","","750ml","NOK","1","460","460","460","NOK","Vinmonopolet","03.10.2024","","2021","Alain Graillot Crozes-Hermitage","France, Rhône, Northern Rhône, Crozes-Hermitage","France","Rhône","Northern Rhône","Crozes-Hermitage","Alain Graillot","Graillot, Alain ","Red","Red","Dry","Syrah","Syrah","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","1784","1613","37","134"
"4503583","0196380698","Cellar","","750ml","NOK","1","460","460","460","NOK","Vinmonopolet","03.10.2024","","2021","Alain Graillot Crozes-Hermitage","France, Rhône, Northern Rhône, Crozes-Hermitage","France","Rhône","Northern Rhône","Crozes-Hermitage","Alain Graillot","Graillot, Alain ","Red","Red","Dry","Syrah","Syrah","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","1784","1613","37","134"
"4932139","0188861883","Cellar","","750ml","NOK","1","215","215","215","NOK","Vinmonopolet","07.03.2024","","2023","Julian Haart Riesling HaartAttack","Germany, Mosel Saar Ruwer","Germany","Mosel Saar Ruwer","Unknown","Unknown","Julian Haart","Haart, Julian ","White","White","Dry","Riesling","Riesling","HaartAttack","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","","","","1892","1502","0","390"
"4932139","0188861884","Cellar","","750ml","NOK","1","215","215","215","NOK","Vinmonopolet","07.03.2024","","2023","Julian Haart Riesling HaartAttack","Germany, Mosel Saar Ruwer","Germany","Mosel Saar Ruwer","Unknown","Unknown","Julian Haart","Haart, Julian ","White","White","Dry","Riesling","Riesling","HaartAttack","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","","","","1892","1502","0","390"
"4932139","0188861885","Cellar","","750ml","NOK","1","215","215","215","NOK","Vinmonopolet","07.03.2024","","2023","Julian Haart Riesling HaartAttack","Germany, Mosel Saar Ruwer","Germany","Mosel Saar Ruwer","Unknown","Unknown","Julian Haart","Haart, Julian ","White","White","Dry","Riesling","Riesling","HaartAttack","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","","","","1892","1502","0","390"
"4932139","0188861886","Cellar","","750ml","NOK","1","215","215","215","NOK","Vinmonopolet","07.03.2024","","2023","Julian Haart Riesling HaartAttack","Germany, Mosel Saar Ruwer","Germany","Mosel Saar Ruwer","Unknown","Unknown","Julian Haart","Haart, Julian ","White","White","Dry","Riesling","Riesling","HaartAttack","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","","","","1892","1502","0","390"
"4932139","0188861887","Cellar","","750ml","NOK","1","215","215","215","NOK","Vinmonopolet","07.03.2024","","2023","Julian Haart Riesling HaartAttack","Germany, Mosel Saar Ruwer","Germany","Mosel Saar Ruwer","Unknown","Unknown","Julian Haart","Haart, Julian ","White","White","Dry","Riesling","Riesling","HaartAttack","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","","","","1892","1502","0","390"
"4932139","0188861888","Cellar","","750ml","NOK","1","215","215","215","NOK","Vinmonopolet","07.03.2024","","2023","Julian Haart Riesling HaartAttack","Germany, Mosel Saar Ruwer","Germany","Mosel Saar Ruwer","Unknown","Unknown","Julian Haart","Haart, Julian ","White","White","Dry","Riesling","Riesling","HaartAttack","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","","","","1892","1502","0","390"
"20480","0195917937","Cellar","","750ml","NOK","1","600","600","600","NOK","Vinmonopolet","20.09.2024","","1001","Henriot Champagne Blanc de Blancs Brut","France, Champagne","France","Champagne","Unknown","Champagne","Henriot","Henriot","White - Sparkling","White","Sparkling","Chardonnay","Chardonnay","Blanc de Blancs Brut","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","258","","","","","3408","1321","13","2074"
"20480","0195917938","Cellar","","750ml","NOK","1","600","600","600","NOK","Vinmonopolet","20.09.2024","","1001","Henriot Champagne Blanc de Blancs Brut","France, Champagne","France","Champagne","Unknown","Champagne","Henriot","Henriot","White - Sparkling","White","Sparkling","Chardonnay","Chardonnay","Blanc de Blancs Brut","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","258","","","","","3408","1321","13","2074"
"20480","0195917939","Cellar","","750ml","NOK","1","600","600","600","NOK","Vinmonopolet","20.09.2024","","1001","Henriot Champagne Blanc de Blancs Brut","France, Champagne","France","Champagne","Unknown","Champagne","Henriot","Henriot","White - Sparkling","White","Sparkling","Chardonnay","Chardonnay","Blanc de Blancs Brut","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","258","","","","","3408","1321","13","2074"
"4919222","0194599723","Cellar","","750ml","NOK","1","510","510","510","NOK","Vinmonopolet","01.08.2024","","2023","Weingut Keller Riesling RR","Germany, Rheinhessen","Germany","Rheinhessen","Unknown","Unknown","Weingut Keller","Keller, Weingut ","White","White","Dry","Riesling","Riesling","RR","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","363","299","47","17"
"4919222","0194599722","Cellar","","750ml","NOK","1","510","510","510","NOK","Vinmonopolet","01.08.2024","","2023","Weingut Keller Riesling RR","Germany, Rheinhessen","Germany","Rheinhessen","Unknown","Unknown","Weingut Keller","Keller, Weingut ","White","White","Dry","Riesling","Riesling","RR","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","363","299","47","17"
"4919220","0194599680","Cellar","","750ml","NOK","1","380","380","380","NOK","Vinmonopolet","01.08.2024","","2023","Weingut Keller Riesling von der Fels","Germany, Rheinhessen","Germany","Rheinhessen","Unknown","Unknown","Weingut Keller","Keller, Weingut ","White","White","Dry","Riesling","Riesling","von der Fels","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","","1306","1141","105","60"
"4919220","0194599679","Cellar","","750ml","NOK","1","380","380","380","NOK","Vinmonopolet","01.08.2024","","2023","Weingut Keller Riesling von der Fels","Germany, Rheinhessen","Germany","Rheinhessen","Unknown","Unknown","Weingut Keller","Keller, Weingut ","White","White","Dry","Riesling","Riesling","von der Fels","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","","1306","1141","105","60"
"4744032","0190712040","Cellar","","750ml","NOK","1","430","430","430","NOK","Unknown","25.04.2024","","2022","Kruger-Rumpf Riesling Abtei 1937 Riesling Trocken","Germany, Nahe","Germany","Nahe","Unknown","Unknown","Kruger-Rumpf","Kruger-Rumpf","White","White","Dry","Riesling","Riesling","Abtei 1937 Riesling Trocken","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","185","179","0","6"
"4744032","0190712041","Cellar","","750ml","NOK","1","430","430","430","NOK","Unknown","25.04.2024","","2022","Kruger-Rumpf Riesling Abtei 1937 Riesling Trocken","Germany, Nahe","Germany","Nahe","Unknown","Unknown","Kruger-Rumpf","Kruger-Rumpf","White","White","Dry","Riesling","Riesling","Abtei 1937 Riesling Trocken","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","185","179","0","6"
"4744032","0190712042","Cellar","","750ml","NOK","1","430","430","430","NOK","Unknown","25.04.2024","","2022","Kruger-Rumpf Riesling Abtei 1937 Riesling Trocken","Germany, Nahe","Germany","Nahe","Unknown","Unknown","Kruger-Rumpf","Kruger-Rumpf","White","White","Dry","Riesling","Riesling","Abtei 1937 Riesling Trocken","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","185","179","0","6"
"4882255","0192432600","Cellar","","750ml","NOK","1","450","450","450","NOK","Vinmonopolet","07.06.2024","","2022","Roland Lavantureux Chablis Vauprin","France, Burgundy, Chablis","France","Burgundy","Chablis","Chablis","Roland Lavantureux","Lavantureux, Roland ","White","White","Dry","Chardonnay","Chardonnay","Vauprin","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","383","218","140","25"
"4882255","0192432599","Cellar","","750ml","NOK","1","450","450","450","NOK","Vinmonopolet","07.06.2024","","2022","Roland Lavantureux Chablis Vauprin","France, Burgundy, Chablis","France","Burgundy","Chablis","Chablis","Roland Lavantureux","Lavantureux, Roland ","White","White","Dry","Chardonnay","Chardonnay","Vauprin","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","383","218","140","25"
"4882255","0192432598","Cellar","","750ml","NOK","1","450","450","450","NOK","Vinmonopolet","07.06.2024","","2022","Roland Lavantureux Chablis Vauprin","France, Burgundy, Chablis","France","Burgundy","Chablis","Chablis","Roland Lavantureux","Lavantureux, Roland ","White","White","Dry","Chardonnay","Chardonnay","Vauprin","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","383","218","140","25"
"4738895","0190712069","Cellar","","750ml","NOK","1","582","582","582","NOK","Vinmonopolet","25.04.2024","","2022","Domaine Leflaive Mâcon-Verzé","France, Burgundy, Mâconnais, Mâcon-Verzé","France","Burgundy","Mâconnais","Mâcon-Verzé","Domaine Leflaive","Leflaive, Domaine ","White","White","Dry","Chardonnay","Chardonnay","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","90","1","","","1580","1319","108","153"
"4738895","0190712068","Cellar","","750ml","NOK","1","582","582","582","NOK","Vinmonopolet","25.04.2024","","2022","Domaine Leflaive Mâcon-Verzé","France, Burgundy, Mâconnais, Mâcon-Verzé","France","Burgundy","Mâconnais","Mâcon-Verzé","Domaine Leflaive","Leflaive, Domaine ","White","White","Dry","Chardonnay","Chardonnay","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","90","1","","","1580","1319","108","153"
"4738895","0190712067","Cellar","","750ml","NOK","1","582","582","582","NOK","Vinmonopolet","25.04.2024","","2022","Domaine Leflaive Mâcon-Verzé","France, Burgundy, Mâconnais, Mâcon-Verzé","France","Burgundy","Mâconnais","Mâcon-Verzé","Domaine Leflaive","Leflaive, Domaine ","White","White","Dry","Chardonnay","Chardonnay","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","90","1","","","1580","1319","108","153"
"4228883","0187577584","Cellar","","750ml","NOK","1","770","770","770","NOK","Vinmonopolet","09.02.2024","","2019","Matthiasson Cabernet Sauvignon Napa Valley","USA, California, Napa Valley","USA","California","Napa Valley","Napa Valley","Matthiasson","Matthiasson","Red","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","","","","652","518","3","131"
"4228883","0187577583","Cellar","","750ml","NOK","1","770","770","770","NOK","Vinmonopolet","09.02.2024","","2019","Matthiasson Cabernet Sauvignon Napa Valley","USA, California, Napa Valley","USA","California","Napa Valley","Napa Valley","Matthiasson","Matthiasson","Red","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","","","","652","518","3","131"
"4228883","0187577582","Cellar","","750ml","NOK","1","770","770","770","NOK","Vinmonopolet","09.02.2024","","2019","Matthiasson Cabernet Sauvignon Napa Valley","USA, California, Napa Valley","USA","California","Napa Valley","Napa Valley","Matthiasson","Matthiasson","Red","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","","","","652","518","3","131"
"300487","0194826394","Cellar","","750ml","NOK","1","400","400","400","NOK","Vinmonopolet","10.08.2024","","1001","Maurice Vesselle Champagne Grand Cru Cuvée Reservée Brut","France, Champagne, Champagne Grand Cru","France","Champagne","Unknown","Champagne Grand Cru","Maurice Vesselle","Maurice Vesselle","White - Sparkling","White","Sparkling","Champagne Blend","Champagne Blend","Cuvée Reservée Brut","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82","","","","","1001","477","0","524"
"4724069","0196837990","Cellar","","750ml","NOK","1","465","465","465","NOK","Vinmonopolet","12.10.2024","","2022","Georg Mosbacher Forster Ungeheuer Riesling Großes Gewächs","Germany, Pfalz","Germany","Pfalz","Unknown","Unknown","Georg Mosbacher","Mosbacher, Georg ","White","White","Dry","Riesling","Riesling","Großes Gewächs","Forster Ungeheuer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","266","263","1","2"
"4724069","0196837991","Cellar","","750ml","NOK","1","465","465","465","NOK","Vinmonopolet","12.10.2024","","2022","Georg Mosbacher Forster Ungeheuer Riesling Großes Gewächs","Germany, Pfalz","Germany","Pfalz","Unknown","Unknown","Georg Mosbacher","Mosbacher, Georg ","White","White","Dry","Riesling","Riesling","Großes Gewächs","Forster Ungeheuer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","266","263","1","2"
"4724069","0196837992","Cellar","","750ml","NOK","1","465","465","465","NOK","Vinmonopolet","12.10.2024","","2022","Georg Mosbacher Forster Ungeheuer Riesling Großes Gewächs","Germany, Pfalz","Germany","Pfalz","Unknown","Unknown","Georg Mosbacher","Mosbacher, Georg ","White","White","Dry","Riesling","Riesling","Großes Gewächs","Forster Ungeheuer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","266","263","1","2"
"4724069","0196837993","Cellar","","750ml","NOK","1","465","465","465","NOK","Vinmonopolet","12.10.2024","","2022","Georg Mosbacher Forster Ungeheuer Riesling Großes Gewächs","Germany, Pfalz","Germany","Pfalz","Unknown","Unknown","Georg Mosbacher","Mosbacher, Georg ","White","White","Dry","Riesling","Riesling","Großes Gewächs","Forster Ungeheuer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","266","263","1","2"
"4724069","0196837994","Cellar","","750ml","NOK","1","465","465","465","NOK","Vinmonopolet","12.10.2024","","2022","Georg Mosbacher Forster Ungeheuer Riesling Großes Gewächs","Germany, Pfalz","Germany","Pfalz","Unknown","Unknown","Georg Mosbacher","Mosbacher, Georg ","White","White","Dry","Riesling","Riesling","Großes Gewächs","Forster Ungeheuer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","266","263","1","2"
"4005698","0190712082","Cellar","","750ml","NOK","1","685","685","685","NOK","Vinmonopolet","25.04.2024","","2019","Domaine du Pélican Savagnin Ouillé Grand Curoulet","France, Jura, Arbois","France","Jura","Unknown","Arbois","Domaine du Pélican","Pélican, Domaine du ","White","White","Dry","Savagnin","Savagnin","Ouillé","Grand Curoulet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","241","175","9","57"
"4005698","0190712081","Cellar","","750ml","NOK","1","685","685","685","NOK","Vinmonopolet","25.04.2024","","2019","Domaine du Pélican Savagnin Ouillé Grand Curoulet","France, Jura, Arbois","France","Jura","Unknown","Arbois","Domaine du Pélican","Pélican, Domaine du ","White","White","Dry","Savagnin","Savagnin","Ouillé","Grand Curoulet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","241","175","9","57"
"4005698","0190712080","Cellar","","750ml","NOK","1","685","685","685","NOK","Vinmonopolet","25.04.2024","","2019","Domaine du Pélican Savagnin Ouillé Grand Curoulet","France, Jura, Arbois","France","Jura","Unknown","Arbois","Domaine du Pélican","Pélican, Domaine du ","White","White","Dry","Savagnin","Savagnin","Ouillé","Grand Curoulet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","241","175","9","57"
"4541260","0187310972","Cellar","","750ml","NOK","1","990","990","990","NOK","Vinmonopolet","02.02.2024","","2021","Domaine Taupenot-Merme Gevrey-Chambertin","France, Burgundy, Côte de Nuits, Gevrey-Chambertin","France","Burgundy","Côte de Nuits","Gevrey-Chambertin","Domaine Taupenot-Merme","Taupenot-Merme, Domaine ","Red","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","101","93","6","2"
"4541260","0187310971","Cellar","","750ml","NOK","1","990","990","990","NOK","Vinmonopolet","02.02.2024","","2021","Domaine Taupenot-Merme Gevrey-Chambertin","France, Burgundy, Côte de Nuits, Gevrey-Chambertin","France","Burgundy","Côte de Nuits","Gevrey-Chambertin","Domaine Taupenot-Merme","Taupenot-Merme, Domaine ","Red","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","101","93","6","2"
"4541260","0187310970","Cellar","","750ml","NOK","1","990","990","990","NOK","Vinmonopolet","02.02.2024","","2021","Domaine Taupenot-Merme Gevrey-Chambertin","France, Burgundy, Côte de Nuits, Gevrey-Chambertin","France","Burgundy","Côte de Nuits","Gevrey-Chambertin","Domaine Taupenot-Merme","Taupenot-Merme, Domaine ","Red","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","101","93","6","2"
